2012-03-08 22:37:24 Notice: Notice (8): Undefined variable: rows in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/facts.ctp, line 18]
2012-03-08 22:40:34 Notice: Notice (8): Undefined variable: rows in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/facts.ctp, line 16]
2012-03-08 22:41:24 Notice: Notice (8): Undefined index:  text in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/facts.ctp, line 18]
2012-03-08 22:41:48 Notice: Notice (8): Undefined index:  text in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/facts.ctp, line 17]
2012-03-08 23:00:05 Notice: Notice (8): Undefined index:  before in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 862]
2012-03-08 23:00:05 Notice: Notice (8): Undefined index:  between in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 862]
2012-03-08 23:00:05 Notice: Notice (8): Undefined index:  after in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 862]
2012-03-08 23:00:05 Notice: Notice (8): Undefined index:  format in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 865]
2012-03-08 23:00:38 Notice: Notice (8): Undefined index:  before in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 862]
2012-03-08 23:00:38 Notice: Notice (8): Undefined index:  between in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 862]
2012-03-08 23:00:38 Notice: Notice (8): Undefined index:  after in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 862]
2012-03-08 23:00:38 Notice: Notice (8): Undefined index:  format in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/cake/libs/view/helpers/form.php, line 865]
2012-03-09 00:03:10 Notice: Notice (8): Undefined index:  News in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resources.ctp, line 40]
2012-03-09 00:03:10 Notice: Notice (8): Undefined index:  News in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resources.ctp, line 41]
2012-03-09 00:16:04 Notice: Notice (8): Undefined variable: types in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesnew.ctp, line 17]
2012-03-09 09:02:38 Notice: Notice (8): Undefined variable: row in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesedit.ctp, line 25]
2012-03-09 09:02:38 Notice: Notice (8): Undefined variable: row in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesedit.ctp, line 29]
2012-03-09 09:06:42 Notice: Notice (8): Undefined variable: data in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesedit.ctp, line 18]
2012-03-09 09:06:53 Notice: Notice (8): Undefined variable: data in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesedit.ctp, line 18]
2012-03-10 11:13:32 Notice: Notice (8): Undefined variable: resources in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesdelete.ctp, line 6]
2012-03-10 11:13:32 Notice: Notice (8): Undefined variable: resources in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesdelete.ctp, line 16]
2012-03-10 11:13:32 Notice: Notice (8): Undefined variable: resources in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesdelete.ctp, line 17]
2012-03-10 11:14:49 Notice: Notice (8): Undefined variable: resources in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesdelete.ctp, line 6]
2012-03-10 11:14:49 Notice: Notice (8): Undefined variable: resources in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesdelete.ctp, line 16]
2012-03-10 11:14:49 Notice: Notice (8): Undefined variable: resources in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/views/admin/resourcesdelete.ctp, line 17]
2012-03-10 22:37:30 Notice: Notice (8): Undefined property: AdminController::$Content in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/controllers/admin_controller.php, line 297]
2012-03-11 00:18:15 Notice: Notice (8): Undefined variable: id in [/mnt/stor12-wc2-dfw1/602846/trail.invadomedia.com/web/content/app/controllers/admin_controller.php, line 333]
